BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
774789,7, VERIFIED, FIXED,10,5,6,,,
884694,2, VERIFIED, FIXED,9,5,9,,,
764669,56, VERIFIED, FIXED,10,3,3,,,
853022,47, VERIFIED, FIXED,12,9,7,,,
722586,7, VERIFIED, FIXED,11,8,5,,,
821229,6, VERIFIED, FIXED,11,8,12,,,
747792,17, VERIFIED, FIXED,14,8,4,,,
793721,27, ASSIGNED, (null),20,6,5,,,
738938,59, VERIFIED, FIXED,11,6,7,,,
777663,6, VERIFIED, FIXED,16,6,9,,,
709048,225, VERIFIED, FIXED,5,3,7,,,
888836,43, VERIFIED, FIXED,11,5,4,,,
766684,2, VERIFIED, FIXED,1,2,5,,,
858828,54, VERIFIED, FIXED,18,7,4,,,
701982,90, VERIFIED, FIXED,14,6,6,,,
826381,5, VERIFIED, FIXED,10,5,3,,,
749143,3, VERIFIED, FIXED,9,7,11,,,
799492,22, VERIFIED, FIXED,26,12,12,,,
740303,27, VERIFIED, FIXED,10,6,14,,,
710096,83, VERIFIED, FIXED,4,3,2,,,
732013,0, VERIFIED, FIXED,7,4,5,,,
768613,28, VERIFIED, FIXED,3,3,3,,,
706272,72, VERIFIED, FIXED,2,2,1,,,
867059,5, VERIFIED, FIXED,4,3,9,,,
760087,181, VERIFIED, FIXED,15,6,8,,,
702821,1, VERIFIED, FIXED,4,2,2,,,
832559,11, VERIFIED, FIXED,9,6,4,,,
750760,19, VERIFIED, FIXED,17,10,8,,,
699667,105, VERIFIED, FIXED,4,2,2,,,
802697,12, VERIFIED, FIXED,6,4,2,,,
741860,161, VERIFIED, WONTFIX,8,4,6,,,
784297,107, VERIFIED, FIXED,12,5,5,,,
900833,6, ASSIGNED, (null),2,2,2,,,
734003,85, VERIFIED, FIXED,10,7,5,,,
770047,46, VERIFIED, FIXED,51,15,16,,,
726623,14, VERIFIED, FIXED,7,5,9,,,
703370,0, VERIFIED, FIXED,2,2,1,,,
721032,30, VERIFIED, FIXED,20,9,7,,,
811285,28, VERIFIED, FIXED,11,7,5,,,
786538,8, ASSIGNED, (null),1,1,3,,,
772436,9, VERIFIED, FIXED,8,5,8,,,
878613,9, VERIFIED, FIXED,9,7,6,,,
763049,31, VERIFIED, FIXED,16,7,8,,,
704201,0, VERIFIED, FIXED,5,4,5,,,
753742,18, VERIFIED, FIXED,46,14,26,,,
701136,13, VERIFIED, FIXED,2,3,2,,,
817586,170, VERIFIED, FIXED,47,15,16,,,
715730,25, VERIFIED, FIXED,16,5,6,,,
746696,32, VERIFIED, FIXED,7,5,6,,,
790305,43, VERIFIED, FIXED,11,6,4,,,
711855,121, VERIFIED, FIXED,6,3,6,,,
885357,3, VERIFIED, FIXED,7,5,4,,,
764775,5, VERIFIED, FIXED,4,2,6,,,
853844,143, VERIFIED, FIXED,38,15,17,,,
755383,115, VERIFIED, FIXED,12,5,8,,,
747838,0, ASSIGNED, (null),0,1,0,,,
697986,96, VERIFIED, FIXED,8,6,4,,,
794088,2, VERIFIED, FIXED,6,4,2,,,
778216,298, VERIFIED, FIXED,27,10,15,,,
889100,9, ASSIGNED, (null),0,1,3,,,
766710,250, VERIFIED, FIXED,3,3,3,,,
705457,8, VERIFIED, FIXED,5,3,4,,,
859584,64, VERIFIED, FIXED,18,4,5,,,
757937,46, VERIFIED, FIXED,14,8,9,,,
701985,90, VERIFIED, FIXED,3,3,2,,,
826384,7, VERIFIED, FIXED,10,6,6,,,
749305,26, VERIFIED, FIXED,14,6,6,,,
799632,79, VERIFIED, FIXED,13,6,8,,,
740306,48, VERIFIED, FIXED,9,5,10,,,
781091,14, VERIFIED, FIXED,14,6,7,,,
710119,83, VERIFIED, FIXED,18,3,4,,,
895423,28, ASSIGNED, (null),31,7,6,,,
768798,92, VERIFIED, FIXED,9,5,9,,,
706325,1, VERIFIED, FIXED,3,3,1,,,
867125,44, VERIFIED, FIXED,17,6,10,,,
760089,55, VERIFIED, FIXED,3,3,5,,,
702873,12, VERIFIED, FIXED,5,4,4,,,
832561,33, VERIFIED, FIXED,12,4,4,,,
719557,46, VERIFIED, FIXED,15,6,4,,,
750778,16, VERIFIED, FIXED,16,8,7,,,
699697,19, VERIFIED, FIXED,3,4,3,,,
802881,12, VERIFIED, FIXED,6,4,2,,,
742019,22, VERIFIED, FIXED,14,4,5,,,
901821,8, VERIFIED, FIXED,10,5,2,,,
734051,11, VERIFIED, FIXED,2,3,7,,,
902059,9, VERIFIED, FIXED,5,3,4,,,
734053,4, VERIFIED, FIXED,13,7,10,,,
770160,23, VERIFIED, FIXED,6,4,9,,,
726679,58, VERIFIED, FIXED,8,5,9,,,
761212,51, VERIFIED, FIXED,7,4,3,,,
838735,35, VERIFIED, FIXED,7,5,5,,,
700675,93, VERIFIED, FIXED,7,5,3,,,
811545,2, VERIFIED, FIXED,3,3,2,,,
786623,42, VERIFIED, FIXED,16,8,12,,,
735747,74, VERIFIED, FIXED,10,5,6,,,
772449,78, VERIFIED, FIXED,11,8,13,,,
878868,4, VERIFIED, FIXED,5,3,5,,,
727454,110, VERIFIED, FIXED,14,7,7,,,
704217,87, VERIFIED, FIXED,7,4,1,,,
844935,132, VERIFIED, FIXED,25,9,14,,,
753859,11, VERIFIED, FIXED,13,6,5,,,
817706,42, VERIFIED, FIXED,17,4,5,,,
746703,41, VERIFIED, FIXED,41,12,12,,,
790608,7, VERIFIED, FIXED,13,7,6,,,
736995,6, VERIFIED, FIXED,7,6,9,,,
728782,18, VERIFIED, FIXED,9,6,6,,,
764812,36, VERIFIED, FIXED,15,5,8,,,
722627,7, VERIFIED, FIXED,9,7,5,,,
755411,26, VERIFIED, FIXED,19,9,9,,,
823285,119, VERIFIED, FIXED,43,14,22,,,
747842,36, VERIFIED, FIXED,11,7,12,,,
698042,2, VERIFIED, FIXED,14,6,6,,,
739038,66, VERIFIED, FIXED,8,4,7,,,
889554,5, VERIFIED, FIXED,7,4,4,,,
729922,17, VERIFIED, FIXED,2,3,2,,,
766858,110, VERIFIED, FIXED,13,8,6,,,
859994,35, VERIFIED, FIXED,21,7,9,,,
723977,2, VERIFIED, FIXED,5,3,8,,,
758193,22, VERIFIED, FIXED,36,10,10,,,
826487,26, VERIFIED, FIXED,5,4,2,,,
749384,27, VERIFIED, FIXED,26,7,6,,,
799924,68, VERIFIED, FIXED,7,6,9,,,
740310,8, VERIFIED, FIXED,10,5,13,,,
781191,92, VERIFIED, FIXED,10,6,6,,,
895549,10, VERIFIED, FIXED,10,5,4,,,
732052,214, VERIFIED, FIXED,71,18,22,,,
768887,153, VERIFIED, FIXED,11,4,12,,,
867141,2, VERIFIED, FIXED,3,2,2,,,
725458,63, VERIFIED, FIXED,18,8,8,,,
760090,40, VERIFIED, FIXED,10,8,9,,,
833427,58, VERIFIED, FIXED,17,8,10,,,
719684,46, VERIFIED, FIXED,13,9,9,,,
750819,168, VERIFIED, FIXED,9,5,8,,,
802946,6, VERIFIED, FIXED,11,4,4,,,
714565,29, VERIFIED, FIXED,11,5,3,,,
742115,49, VERIFIED, FIXED,15,9,14,,,
784480,28, VERIFIED, FIXED,2,2,4,,,
902453,0, VERIFIED, FIXED,9,5,7,,,
734425,347, VERIFIED, FIXED,27,8,9,,,
770345,86, VERIFIED, FIXED,24,7,7,,,
873429,10, VERIFIED, FIXED,9,6,12,,,
839380,52, VERIFIED, FIXED,41,9,15,,,
721070,21, VERIFIED, FIXED,15,7,6,,,
