BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory ,
344344,156, RESOLVED, WORKSFORME,3,3,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
260132,374, RESOLVED, WORKSFORME,4,4,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
403686,1976, RESOLVED, WORKSFORME,4,2,2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
307954,458, RESOLVED, WORKSFORME,4,5,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
326859,305, RESOLVED, WORKSFORME,0,1,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
536096,0, RESOLVED, WORKSFORME,1,2,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
710437,244, RESOLVED, WORKSFORME,4,3,3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
344347,767, RESOLVED, WORKSFORME,3,4,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
448159,402, RESOLVED, WORKSFORME,1,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
328659,290, RESOLVED, WORKSFORME,4,4,2,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > INVALID > --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (INVALID) > UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
554454,6, RESOLVED, WORKSFORME,7,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
728508,390, RESOLVED, FIXED,12,4,4,NEW > RESOLVED > REOPENED > RESOLVED > REOPENED > RESOLVED, --- > FIXED > --- > WORKSFORME > --- > FIXED, NEW (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (FIXED) , 
355534,7, RESOLVED, WORKSFORME,3,2,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
294686,5, RESOLVED, WORKSFORME,2,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
405912,73, RESOLVED, WORKSFORME,2,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
309265,390, RESOLVED, WORKSFORME,7,4,2,UNCONFIRMED > NEW > RESOLVED, --- > WORKSFORME, , 
329511,282, RESOLVED, WORKSFORME,2,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
339850,5, RESOLVED, WORKSFORME,2,2,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
758857,352, RESOLVED, WORKSFORME,11,5,12,NEW > ASSIGNED > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > WORKSFORME, , 
347462,2385, RESOLVED, WORKSFORME,8,6,10,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
264306,568, RESOLVED, WORKSFORME,3,4,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
358460,0, RESOLVED, WORKSFORME,1,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
310979,1226, RESOLVED, WORKSFORME,2,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
455192,337, RESOLVED, WORKSFORME,7,4,3,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
348344,2404, RESOLVED, WORKSFORME,5,6,5,UNCONFIRMED > NEW > RESOLVED, --- > WORKSFORME, , 
265209,785, RESOLVED, WORKSFORME,3,3,4,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > FIXED > --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (FIXED) > UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
359178,914, RESOLVED, WORKSFORME,3,4,3,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
311673,0, RESOLVED, WORKSFORME,3,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
340649,1, RESOLVED, WORKSFORME,2,2,0,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > FIXED > --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (FIXED) > UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
782641,329, RESOLVED, WORKSFORME,35,5,3,NEW > RESOLVED > REOPENED > RESOLVED, --- > FIXED > --- > WONTFIX > WORKSFORME, , 
266043,328, RESOLVED, WORKSFORME,1,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
359243,0, RESOLVED, WORKSFORME,1,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
300906,124, VERIFIED, WORKSFORME,2,3,2,UNCONFIRMED > RESOLVED > VERIFIED, --- > WORKSFORME, , 
