BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
5522, 1496, VERIFIED, WORKSFORME, 5, 2, 0,NEW > RESOLVED > VERIFIED, --- > WORKSFORME, , 
7082, 1363, RESOLVED, WORKSFORME, 13, 6, 3,NEW > RESOLVED > REOPENED > RESOLVED, --- > DUPLICATE > --- > WORKSFORME, NEW (---) > RESOLVED (DUPLICATE) > REOPENED (---) > RESOLVED (WORKSFORME) , 
5564, 1492, RESOLVED, WORKSFORME, 0, 1, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
10386, 1053, RESOLVED, WORKSFORME, 3, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
12628, 851, RESOLVED, WORKSFORME, 6, 3, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
2913, 1802, RESOLVED, WORKSFORME, 1, 2, 0,NEW > RESOLVED, --- > LATER > WORKSFORME, , 
4183, 1677, RESOLVED, WORKSFORME, 2, 3, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
26603, 106, RESOLVED, FIXED, 13, 3, 5,NEW > RESOLVED > REOPENED > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > FIXED > --- > FIXED, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (FIXED) , 
28857, 53, RESOLVED, WORKSFORME, 8, 3, 5,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
29516, 245, RESOLVED, FIXED, 8, 3, 2,NEW > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > FIXED, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (FIXED) , 
12262, 2017, RESOLVED, FIXED, 26, 9, 11,NEW > RESOLVED > REOPENED > RESOLVED > REOPENED > RESOLVED > REOPENED > RESOLVED > REOPENED > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > FIXED > --- > FIXED > --- > FIXED > --- > FIXED > --- > FIXED, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (FIXED) , 
31993, 6, RESOLVED, FIXED, 9, 6, 3,NEW > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > FIXED, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (FIXED) , 
34147, 91, RESOLVED, WORKSFORME, 20, 8, 8,NEW > RESOLVED > REOPENED > RESOLVED > REOPENED > RESOLVED > REOPENED > RESOLVED, --- > INVALID > --- > FIXED > --- > FIXED > --- > WORKSFORME, NEW (---) > RESOLVED (INVALID) > REOPENED (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (WORKSFORME) , 
34664, 69, RESOLVED, WORKSFORME, 4, 3, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
31962, 145, VERIFIED, FIXED, 6, 5, 10,NEW > RESOLVED > VERIFIED > RESOLVED > VERIFIED, --- > FIXED > WORKSFORME > FIXED, , 
36747, 10, RESOLVED, WORKSFORME, 6, 5, 8,UNCONFIRMED > NEW > RESOLVED, --- > WORKSFORME, , 
34873, 443, REOPENED, (null), 16, 6, 11,NEW > RESOLVED > REOPENED > RESOLVED > REOPENED, --- > FIXED > --- > WORKSFORME > ---, NEW (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (WORKSFORME) > REOPENED (---) , 
28485, 513, RESOLVED, WORKSFORME, 13, 6, 6,NEW > RESOLVED > REOPENED > RESOLVED > REOPENED > RESOLVED, --- > FIXED > --- > FIXED > --- > WORKSFORME, NEW (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (WORKSFORME) , 
29574, 591, RESOLVED, WORKSFORME, 2, 1, 2,NEW > RESOLVED > REOPENED > RESOLVED, --- > FIXED > --- > WORKSFORME, NEW (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (WORKSFORME) , 
43145, 117, RESOLVED, WORKSFORME, 3, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
36085, 369, RESOLVED, WORKSFORME, 8, 3, 4,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
