BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
3730, 6, RESOLVED, FIXED, 9, 3, 3,
12326, 302, RESOLVED, FIXED, 6, 4, 3,
15107, 0, RESOLVED, FIXED, 9, 4, 4,
27496, 423, CLOSED, FIXED, 12, 4, 4,
38158, 180, RESOLVED, FIXED, 16, 8, 10,
50962, 0, NEW, (null), 2, 2, 4,
1131, 1973, RESOLVED, FIXED, 2, 3, 1,
1765, 1875, RESOLVED, FIXED, 1, 1, 0,
1887, 787, RESOLVED, FIXED, 34, 6, 5,
2700, 2942, PATCH_TO_REVIEW, (null), 88, 48, 58,
5355, 8, RESOLVED, FIXED, 2, 2, 1,
12974, 2004, REOPENED, (null), 53, 25, 33,
19262, 1445, RESOLVED, FIXED, 66, 17, 17,
38566, 174, RESOLVED, FIXED, 17, 9, 14,
44011, 30, NEW, (null), 6, 5, 9,
49115, 6, RESOLVED, FIXED, 7, 6, 6,
45081, 11, NEW, (null), 4, 3, 6,
45417, 55, RESOLVED, FIXED, 4, 2, 7,
62, 2098, RESOLVED, FIXED, 3, 4, 1,
11428, 965, RESOLVED, FIXED, 6, 4, 2,
14987, 1, RESOLVED, FIXED, 3, 3, 4,
25402, 24, RESOLVED, FIXED, 3, 2, 2,
28215, 389, RESOLVED, FIXED, 7, 7, 10,
28714, 38, RESOLVED, FIXED, 5, 6, 5,
31676, 554, RESOLVED, FIXED, 37, 8, 11,
34510, 73, RESOLVED, FIXED, 5, 4, 6,
35562, 500, ASSIGNED, (null), 14, 4, 7,
40834, 2, RESOLVED, FIXED, 1, 1, 3,
45810, 21, RESOLVED, FIXED, 4, 2, 4,
46426, 0, RESOLVED, WONTFIX, 7, 4, 8,
50504, 6, RESOLVED, FIXED, 6, 2, 6,
51539, 15, NEW, (null), 3, 2, 6,
36142, 147, RESOLVED, FIXED, 5, 4, 7,
18861, 1545, REOPENED, (null), 33, 20, 27,
42082, 0, RESOLVED, FIXED, 6, 5, 5,
2020, 2015, RESOLVED, FIXED, 11, 5, 4,
10477, 0, RESOLVED, FIXED, 9, 3, 0,
23558, 863, RESOLVED, FIXED, 19, 11, 13,
24123, 824, RESOLVED, FIXED, 12, 3, 3,
34662, 2, RESOLVED, FIXED, 4, 2, 2,
36973, 14, RESOLVED, FIXED, 7, 4, 8,
37015, 10, RESOLVED, FIXED, 3, 2, 5,
41736, 1, RESOLVED, FIXED, 6, 5, 5,
42337, 151, RESOLVED, FIXED, 11, 7, 9,
42394, 261, NEW, (null), 7, 5, 5,
48197, 0, RESOLVED, FIXED, 5, 6, 5,
49911, 10, RESOLVED, FIXED, 15, 3, 9,
226, 2087, RESOLVED, FIXED, 1, 2, 1,
1018, 1986, RESOLVED, FIXED, 3, 2, 2,
2591, 1781, RESOLVED, FIXED, 1, 2, 0,
2597, 1781, RESOLVED, FIXED, 5, 2, 0,
3871, 0, RESOLVED, FIXED, 6, 2, 1,
5458, 1501, RESOLVED, FIXED, 2, 2, 0,
6629, 38, RESOLVED, FIXED, 3, 4, 0,
8004, 8, RESOLVED, FIXED, 1, 2, 0,
10127, 0, CLOSED, FIXED, 1, 1, 0,
10732, 0, RESOLVED, FIXED, 4, 3, 2,
15101, 2, RESOLVED, FIXED, 4, 4, 1,
17015, 0, RESOLVED, FIXED, 1, 2, 1,
22227, 501, RESOLVED, FIXED, 7, 4, 1,
29614, 296, RESOLVED, FIXED, 2, 3, 2,
30854, 432, RESOLVED, FIXED, 35, 4, 3,
31234, 2, RESOLVED, FIXED, 3, 3, 3,
34471, 75, RESOLVED, FIXED, 3, 4, 4,
34887, 11, RESOLVED, FIXED, 4, 3, 4,
529, 2333, RESOLVED, FIXED, 26, 13, 8,
3405, 4, RESOLVED, FIXED, 6, 3, 1,
5527, 1123, RESOLVED, FIXED, 9, 5, 3,
5678, 842, RESOLVED, FIXED, 22, 11, 8,
35476, 186, NEW, (null), 4, 2, 1,
548, 266, RESOLVED, FIXED, 4, 3, 1,
27021, 4, RESOLVED, FIXED, 7, 3, 5,
34785, 83, RESOLVED, FIXED, 24, 8, 12,
51730, 9, REOPENED, (null), 20, 5, 11,
41778, 15, RESOLVED, FIXED, 20, 7, 12,
18581, 1, RESOLVED, FIXED, 3, 2, 1,
32709, 15, RESOLVED, FIXED, 12, 8, 10,
40789, 292, VERIFIED, FIXED, 10, 6, 9,
47382, 20, NEW, (null), 2, 3, 1,
2520, 1784, RESOLVED, FIXED, 1, 2, 0,
19296, 29, RESOLVED, FIXED, 5, 5, 4,
40585, 71, RESOLVED, FIXED, 11, 4, 8,
42355, 28, NEW, (null), 1, 1, 2,
9938, 1, RESOLVED, FIXED, 3, 3, 2,
27849, 733, NEW, (null), 27, 10, 13,
29070, 34, RESOLVED, FIXED, 6, 3, 6,
29246, 85, RESOLVED, FIXED, 3, 3, 11,
29278, 22, RESOLVED, FIXED, 16, 4, 7,
31526, 3, RESOLVED, FIXED, 3, 4, 6,
31777, 258, RESOLVED, FIXED, 7, 5, 10,
32643, 193, RESOLVED, FIXED, 3, 3, 8,
33117, 28, RESOLVED, FIXED, 7, 4, 6,
33214, 585, PATCH_TO_REVIEW, (null), 5, 5, 7,
33602, 108, RESOLVED, FIXED, 4, 4, 8,
34212, 46, RESOLVED, FIXED, 6, 4, 8,
39830, 328, PATCH_TO_REVIEW, (null), 4, 3, 5,
39877, 26, NEW, (null), 4, 4, 8,
41042, 188, RESOLVED, FIXED, 9, 7, 11,
41085, 15, NEW, (null), 3, 3, 6,
42949, 132, RESOLVED, FIXED, 3, 4, 6,
43518, 65, RESOLVED, FIXED, 15, 4, 10,
43849, 101, RESOLVED, FIXED, 2, 1, 6,
46072, 133, PATCH_TO_REVIEW, (null), 6, 4, 7,
48129, 79, RESOLVED, FIXED, 2, 3, 6,
48294, 76, RESOLVED, FIXED, 7, 4, 6,
52031, 0, NEW, (null), 1, 2, 5,
52537, 7, NEW, (null), 4, 2, 9,
52699, 4, PATCH_TO_REVIEW, (null), 3, 2, 4,
2166, 1827, RESOLVED, FIXED, 11, 7, 6,
10265, 0, RESOLVED, FIXED, 3, 2, 1,
13085, 0, RESOLVED, FIXED, 2, 2, 1,
40653, 9, RESOLVED, FIXED, 1, 1, 1,
41043, 48, RESOLVED, FIXED, 8, 5, 6,
41169, 186, RESOLVED, FIXED, 3, 4, 4,
41178, 186, RESOLVED, FIXED, 4, 2, 1,
41298, 2, RESOLVED, FIXED, 8, 5, 6,
41370, 272, VERIFIED, FIXED, 6, 5, 3,
41658, 236, RESOLVED, FIXED, 3, 3, 4,
41706, 164, RESOLVED, FIXED, 11, 7, 7,
43008, 208, RESOLVED, FIXED, 9, 5, 7,
3946, 1644, RESOLVED, FIXED, 5, 4, 0,
6632, 1403, RESOLVED, FIXED, 4, 4, 0,
8470, 1228, RESOLVED, FIXED, 1, 2, 0,
8471, 1227, RESOLVED, FIXED, 1, 2, 0,
13921, 1873, RESOLVED, FIXED, 25, 11, 13,
32822, 276, RESOLVED, FIXED, 21, 6, 5,
42461, 146, RESOLVED, FIXED, 3, 2, 1,
42463, 41, RESOLVED, FIXED, 2, 3, 4,
43416, 117, RESOLVED, FIXED, 3, 3, 2,
45619, 137, NEW, (null), 1, 2, 2,
47055, 106, PATCH_TO_REVIEW, (null), 13, 8, 6,
51633, 11, RESOLVED, FIXED, 3, 3, 1,
21526, 435, RESOLVED, FIXED, 17, 6, 7,
29047, 2, RESOLVED, FIXED, 1, 2, 2,
34421, 77, RESOLVED, FIXED, 16, 7, 7,
43070, 97, RESOLVED, FIXED, 8, 4, 4,
52453, 0, NEW, (null), 0, 1, 3,
34285, 84, RESOLVED, FIXED, 4, 4, 1,
40009, 344, NEW, (null), 10, 5, 3,
484, 273, CLOSED, FIXED, 6, 4, 3,
1947, 1848, RESOLVED, FIXED, 5, 2, 1,
2656, 1778, RESOLVED, FIXED, 1, 2, 0,
5174, 1531, RESOLVED, FIXED, 1, 2, 1,
10128, 1350, RESOLVED, FIXED, 12, 8, 4,
28886, 4, RESOLVED, FIXED, 2, 2, 3,
28940, 3, RESOLVED, FIXED, 6, 5, 5,
29471, 12, RESOLVED, FIXED, 8, 4, 3,
29531, 7, RESOLVED, FIXED, 6, 4, 3,
29644, 1, RESOLVED, FIXED, 1, 2, 2,
31740, 8, RESOLVED, FIXED, 4, 3, 5,
32387, 553, NEW, (null), 20, 9, 14,
34653, 69, RESOLVED, FIXED, 15, 6, 7,
34724, 326, RESOLVED, FIXED, 6, 5, 7,
40037, 15, RESOLVED, FIXED, 10, 8, 9,
41190, 20, RESOLVED, WONTFIX, 17, 8, 13,
42328, 27, RESOLVED, FIXED, 5, 3, 4,
42652, 58, RESOLVED, FIXED, 2, 1, 2,
45054, 65, RESOLVED, FIXED, 1, 1, 3,
48819, 75, PATCH_TO_REVIEW, (null), 3, 2, 2,
48978, 4, NEW, (null), 1, 2, 2,
26, 273, RESOLVED, FIXED, 19, 7, 4,
202, 2795, RESOLVED, FIXED, 2, 3, 1,
996, 1988, RESOLVED, FIXED, 10, 5, 2,
1002, 2693, RESOLVED, FIXED, 7, 5, 0,
1124, 1974, RESOLVED, FIXED, 8, 7, 1,
1132, 1973, RESOLVED, FIXED, 3, 3, 0,
