FFAndroidWFM,FFAndroidNWFM,IndustryWFM,IndustryNWFM,WikiWFM,WikiNWFM,EclipseWFM,EclipseNWFM,FirefoxWFM,FirefoxNWFM,MoodleWFM,MoodleNWFM
2,4,3,2,1,1,2,3,3,9,3,2
8,15,2,5,1,4,7,14,4,21,1,2
1,4,4,1,2,4,3,6,2,6,2,2
15,9,4,2,4,1,3,15,5,10,2,2
15,17,6,2,3,7,5,3,9,106,3,2
3,4,4,0,1,2,4,5,3,9,3,2
5,6,1,1,14,35,6,2,2,3,1,2
6,8,3,1,3,3,15,5,3,38,1,2
4,12,7,1,5,3,1,2,3,7,8,2
19,2,2,2,3,4,15,6,5,29,5,2
5,10,2,1,1,26,6,5,8,5,3,2
2,51,3,2,1,6,1,7,5,2,3,2
3,7,1,2,4,9,3,0,7,4,3,2
9,2,1,1,5,22,3,4,10,6,5,2
4,20,2,2,5,4,2,2,3,2,1,2
6,11,2,1,4,4,1,0,2,4,4,2
31,1,2,2,4,7,1,22,4,12,9,2
0,8,2,1,1,24,4,8,7,3,1,2
11,9,2,2,1,20,2,3,3,6,2,2
4,16,1,0,1,20,2,5,3,11,4,2
12,5,1,1,21,3,13,0,6,5,0,2
2,46,2,2,13,12,5,1,3,52,4,2
7,2,2,1,9,10,4,0,2,7,1,2
4,47,2,1,2,2,7,2,4,42,1,3
5,16,4,2,8,1,6,13,7,4,2,2
22,7,1,0,10,5,6,26,3,11,2,3
4,11,2,1,7,11,5,1,4,97,1,1
41,6,5,1,1,1,2,9,4,3,5,1
2,7,2,2,1,3,6,2,5,84,2,1
15,4,2,2,1,27,2,1,4,3,4,1
7,38,2,1,1,6,10,3,7,49,1,3
2,12,4,2,3,3,2,12,2,13,1,2
1,0,2,1,2,16,4,1,1,23,1,2
2,8,2,1,3,3,4,2,2,11,1,1
11,6,1,1,1,7,4,4,2,23,3,2
9,27,6,1,1,3,13,20,5,39,2,2
2,0,2,4,5,7,6,6,3,9,1,3
3,3,6,1,5,5,1,5,2,7,4,2
2,5,3,1,27,4,1,7,6,28,2,3
9,18,5,1,7,6,1,22,4,14,4,2
3,14,1,4,3,4,1,5,1,10,4,2
1,3,2,2,4,4,4,3,4,17,2,2
8,10,1,1,3,9,4,3,5,24,4,2
28,14,1,2,2,3,2,2,1,34,1,2
51,13,2,2,2,3,1,11,1,2,2,2
5,9,1,1,1,15,1,17,4,2,1,3
3,14,1,1,8,2,9,19,1,3,1,4
7,18,1,2,7,6,1,10,13,2,5,3
5,31,2,2,6,2,2,1,9,8,1,3
7,9,3,2,1,7,1,13,3,83,8,3
1,3,9,1,12,1,6,8,3,18,4,3
1,17,1,1,4,4,4,1,10,39,1,3
2,3,1,2,3,3,10,7,2,19,2,3
2,5,0,1,2,11,2,1,2,10,7,2
2,12,2,3,4,3,7,20,2,22,1,2
3,15,1,2,2,2,1,0,3,12,6,2
3,16,2,2,2,1,1,3,3,6,7,2
3,3,2,1,2,8,10,9,1,2,9,2
2,6,4,2,2,3,7,5,3,8,2,2
9,14,2,2,5,4,3,4,4,8,1,3
3,10,2,2,2,8,8,0,6,8,3,2
8,2,2,2,20,6,2,2,5,5,6,2
4,5,2,1,2,3,4,13,5,45,11,2
8,13,3,2,3,11,4,4,1,7,5,2
2,6,0,2,1,9,3,1,4,6,2,2
52,8,1,3,1,5,1,29,10,7,1,2
2,7,3,1,9,4,1,2,3,7,2,3
18,7,0,2,1,1,2,2,7,6,2,3
3,7,1,2,3,1,1,1,3,3,2,2
3,3,3,2,2,25,1,1,2,9,1,2
7,16,2,1,1,21,11,22,4,7,3,2
5,10,2,1,2,3,2,1,9,12,5,2
7,11,2,1,2,2,5,3,2,34,5,3
1,5,1,4,3,3,4,4,4,3,5,2
2,14,0,1,6,1,4,1,13,8,1,2
3,7,3,1,30,13,1,12,6,19,2,3
4,25,3,1,3,3,1,7,4,11,2,2
3,13,2,2,2,17,4,1,3,6,1,2
2,17,1,2,3,1,10,10,2,2,1,1
1,41,2,2,5,16,1,11,3,34,3,3
1,13,2,2,13,8,3,1,8,10,1,3
5,7,2,1,4,0,3,3,3,3,5,3
20,9,4,2,2,4,3,4,6,12,3,2
4,15,1,1,1,10,4,10,4,27,2,2
3,9,2,1,14,6,1,14,6,20,1,2
2,19,0,0,2,5,3,1,24,21,1,1
19,43,2,2,5,1,6,4,4,3,1,3
1,11,1,4,2,1,2,5,4,9,7,2
6,14,1,3,1,12,3,3,9,7,12,2
14,8,4,3,3,2,7,3,5,14,3,2
1,7,4,1,6,6,4,17,5,13,2,1
6,2,1,2,3,8,6,24,10,17,2,2
1,13,4,1,1,6,9,1,1,10,1,2
5,21,2,1,6,1,2,2,2,17,2,3
6,5,6,1,4,4,3,1,4,1,6,2
