FFAndroidWFM,FFAndroidNWFM,IndustryWFM,IndustryNWFM,WikiWFM,WikiNWFM,EclipseWFM,EclipseNWFM,FirefoxWFM,FirefoxNWFM,MoodleWFM,MoodleNWFM
46,35,1,10,1101,1228,1343,1789,232,1365,396,2573
0,93,0,10,1100,1227,0,2821,1211,1461,71,621
50,2,34,10,70,1873,0,2821,319,616,1053,581
84,42,0,8,0,276,125,1116,1097,1442,4,580
149,74,8,8,1805,146,1361,2,0,991,517,742
19,78,8,5,148,41,11,6,0,1813,23,580
4,4,0,7,1706,117,105,1527,727,1339,0,580
20,110,42,0,1198,137,111,1776,682,1003,0,579
99,87,3,5,2129,106,812,678,191,508,1181,1070
2,132,36,0,1069,11,0,1779,4,1379,170,660
13,11,6,4,1292,435,5,1757,2883,1157,0,577
0,42,3,4,1068,2,81,1927,550,965,596,17
56,41,0,4,1026,77,1,15,54,802,1163,576
106,7,0,0,2080,97,114,1750,1110,1359,605,2568
40,6,0,4,1217,0,0,1860,582,838,57,576
59,18,12,4,26,84,10,958,0,573,50,576
4,36,5,4,19,344,0,149,1,652,750,575
19,7,0,54,1008,273,0,512,3537,1469,81,575
0,26,1,54,182,1848,28,740,1210,411,19,98
283,119,0,0,93,1778,0,160,279,1070,764,574
58,36,13,6,1276,1531,89,1911,313,1350,30,574
1,2,0,13,0,1350,403,2786,623,638,31,1063
51,66,5,6,0,4,6,1910,312,1316,1221,1063
248,5,10,0,0,3,3,2834,324,776,1078,83
6,17,0,6,2,12,21,7,716,838,7,573
319,110,4,6,30,7,6,2785,0,1052,109,573
13,35,0,4,1095,1,2,1597,412,684,149,573
361,2,4,6,809,8,1,951,352,1412,412,572
108,22,1,7,7,553,21,4,9,1338,240,2564
31,26,0,4,0,69,62,1742,533,651,57,571
321,27,2,4,1633,326,80,1032,833,1395,1598,2423
6,68,3,5,854,15,21,63,2048,1470,808,571
237,8,2,4,459,20,212,931,1204,911,814,571
27,92,11,5,0,27,23,1,356,719,1317,570
0,10,0,4,6,58,199,270,195,885,1608,570
32,214,0,40,539,65,6,1733,258,964,587,2562
2,153,0,0,0,75,133,1676,672,1364,5,570
0,2,0,19,1080,4,21,683,213,800,1477,569
228,63,0,6,391,273,2,58,0,556,4,569
233,40,0,25,498,2795,10,1267,296,894,12,569
25,58,0,9,1780,1988,55,58,484,927,841,569
226,46,1,8,832,2693,490,682,0,734,3,569
7,168,0,4,453,1974,169,58,2,830,846,569
6,6,6,16,1,1973,7,2768,2505,1166,1154,569
6,29,6,67,761,1831,54,168,0,1328,1381,631
