BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory ,
419809,911, RESOLVED, WORKSFORME,3,2,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
228413,106, RESOLVED, WORKSFORME,2,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
360046,237, VERIFIED, WORKSFORME,2,2,2,UNCONFIRMED > RESOLVED > VERIFIED, --- > FIXED > WORKSFORME, UNCONFIRMED (---) > RESOLVED (FIXED) > VERIFIED (WORKSFORME) , 
251067,3143, RESOLVED, WORKSFORME,4,5,3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
663218,242, RESOLVED, WORKSFORME,0,1,1,NEW > RESOLVED, --- > FIXED > WORKSFORME, , 
321003,433, RESOLVED, WORKSFORME,3,4,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
556261,275, RESOLVED, WORKSFORME,3,3,1,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
300463,702, RESOLVED, WORKSFORME,5,4,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
489688,644, RESOLVED, WORKSFORME,7,3,2,UNCONFIRMED > RESOLVED, --- > INCOMPLETE > FIXED > WORKSFORME, , 
428025,910, RESOLVED, WORKSFORME,5,2,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
368769,1091, RESOLVED, WORKSFORME,2,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
585166,1004, RESOLVED, WORKSFORME,4,4,4,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
327004,477, RESOLVED, WORKSFORME,3,4,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
302604,174, RESOLVED, WORKSFORME,6,7,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
503752,538, RESOLVED, WORKSFORME,7,3,1,UNCONFIRMED > RESOLVED, --- > INCOMPLETE > WORKSFORME, , 
436980,834, RESOLVED, WORKSFORME,2,2,1,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
376379,1405, VERIFIED, WORKSFORME,2,2,2,UNCONFIRMED > RESOLVED > VERIFIED, --- > INCOMPLETE > WORKSFORME, UNCONFIRMED (---) > RESOLVED (INCOMPLETE) > VERIFIED (WORKSFORME) , 
336564,0, RESOLVED, WORKSFORME,7,3,2,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > FIXED > --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (FIXED) > UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
596982,5, RESOLVED, WORKSFORME,4,2,3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
520305,217, RESOLVED, WORKSFORME,4,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
283900,770, RESOLVED, WORKSFORME,2,3,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
446152,810, RESOLVED, WORKSFORME,3,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
395459,1034, RESOLVED, WORKSFORME,8,3,2,UNCONFIRMED > RESOLVED, --- > INCOMPLETE > FIXED > WORKSFORME, , 
344900,335, RESOLVED, WORKSFORME,3,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
311650,1, RESOLVED, WORKSFORME,3,3,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
536822,323, RESOLVED, WORKSFORME,6,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
404932,600, RESOLVED, WORKSFORME,3,3,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
224239,886, VERIFIED, WORKSFORME,7,3,0,UNCONFIRMED > RESOLVED > VERIFIED, --- > WORKSFORME, , 
355243,1, RESOLVED, WORKSFORME,3,3,3,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
244562,3192, RESOLVED, WORKSFORME,4,5,3,UNCONFIRMED > NEW > RESOLVED, --- > WORKSFORME, , 
643026,65, RESOLVED, WORKSFORME,4,2,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
543007,232, RESOLVED, WORKSFORME,2,1,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
295262,1, RESOLVED, WORKSFORME,2,3,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
479385,742, RESOLVED, WORKSFORME,2,2,1,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
421688,0, RESOLVED, WORKSFORME,4,2,1,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
230004,114, RESOLVED, WORKSFORME,9,6,1,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > WORKSFORME > --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) > UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
360191,246, RESOLVED, WORKSFORME,2,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
252803,3133, RESOLVED, WORKSFORME,6,7,7,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
551678,824, RESOLVED, WORKSFORME,6,3,2,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > WORKSFORME > --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) > UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
490645,525, RESOLVED, WORKSFORME,1,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
266915,884, RESOLVED, WORKSFORME,5,4,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
428748,863, RESOLVED, WORKSFORME,2,2,1,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
236049,116, RESOLVED, WORKSFORME,3,4,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
369378,1168, RESOLVED, WORKSFORME,9,4,3,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > WORKSFORME > --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) > UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
889729,10, RESOLVED, WORKSFORME,0,1,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
580989,200, RESOLVED, WORKSFORME,2,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
504904,3, RESOLVED, WORKSFORME,7,4,4,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
274350,289, RESOLVED, WORKSFORME,5,5,1,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > FIXED > --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (FIXED) > UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
213998,3391, RESOLVED, WORKSFORME,1,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
336677,398, RESOLVED, WORKSFORME,3,3,3,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
605698,13, RESOLVED, WORKSFORME,1,1,1,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
521088,450, RESOLVED, WORKSFORME,3,3,2,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
446579,11, RESOLVED, WORKSFORME,3,2,1,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
396072,1033, RESOLVED, WORKSFORME,2,2,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
217707,949, VERIFIED, WORKSFORME,4,2,1,UNCONFIRMED > RESOLVED > VERIFIED, --- > WORKSFORME, , 
345060,0, RESOLVED, WORKSFORME,2,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
288436,0, RESOLVED, WORKSFORME,5,4,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
253847,108, VERIFIED, WORKSFORME,4,3,1,UNCONFIRMED > RESOLVED > VERIFIED, --- > WORKSFORME, , 
224758,2, RESOLVED, WORKSFORME,3,4,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
355932,255, RESOLVED, WORKSFORME,1,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
253115,3130, RESOLVED, WORKSFORME,21,7,6,UNCONFIRMED > NEW > ASSIGNED > NEW > RESOLVED, --- > WORKSFORME, , 
659507,0, RESOLVED, WORKSFORME,2,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
315211,1253, RESOLVED, WORKSFORME,2,2,3,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
543982,332, RESOLVED, WORKSFORME,4,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
295417,0, RESOLVED, WORKSFORME,3,3,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
421776,769, RESOLVED, WORKSFORME,1,2,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
230570,815, VERIFIED, WORKSFORME,2,3,1,UNCONFIRMED > RESOLVED > VERIFIED, --- > WORKSFORME, , 
360635,232, VERIFIED, WORKSFORME,4,2,2,UNCONFIRMED > RESOLVED > VERIFIED, --- > FIXED > WORKSFORME, UNCONFIRMED (---) > RESOLVED (FIXED) > VERIFIED (WORKSFORME) , 
321861,1368, RESOLVED, WORKSFORME,6,4,3,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
300671,0, RESOLVED, WORKSFORME,1,2,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
490789,525, RESOLVED, WORKSFORME,3,2,1,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
267016,245, RESOLVED, WORKSFORME,5,3,2,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > FIXED > --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (FIXED) > UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
429466,99, RESOLVED, WORKSFORME,8,5,5,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
236794,0, RESOLVED, WORKSFORME,1,2,1,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > FIXED > --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (FIXED) > UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
370619,51, RESOLVED, WORKSFORME,9,7,5,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
577961,1109, RESOLVED, WORKSFORME,5,4,4,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
184857,1449, RESOLVED, WORKSFORME,6,6,3,UNCONFIRMED > NEW > RESOLVED, --- > WORKSFORME, , 
327476,1030, RESOLVED, WORKSFORME,8,3,3,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
581364,337, RESOLVED, WORKSFORME,3,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
